datetime,เกิดเหตุ,temperature_F,humidity_%,pressure_in,less4whells,4whells,more4whells,day_of_week,is_weekend,is_holiday
2023-12-10,0,80.91666666666667,87.3125,29.709375,89,404,92,6,1,1
2023-12-11,0,81.33333333333333,87.95833333333333,29.716875,88,411,93,0,0,1
2023-12-12,0,81.77083333333333,83.1875,29.7225,94,402,90,1,0,0
2023-12-13,0,78.77083333333333,93.16666666666669,29.74291666666667,79,424,99,2,0,0
2023-12-14,0,79.02083333333333,94.47916666666669,29.76125,79,423,98,3,0,0
2023-12-15,0,78.20833333333333,98.625,29.749375,79,423,95,4,0,0
2023-12-16,0,81.95833333333333,85.39583333333333,29.745,94,408,95,5,1,0
2023-12-17,0,81.64583333333333,83.27083333333333,29.74875,95,408,91,6,1,0
2023-12-18,0,81.82978723404256,83.29787234042553,29.76255319148936,92,398,95,0,0,0
2023-12-19,0,80.41666666666667,88.125,29.769375,88,407,97,1,0,0
2023-12-20,0,79.25,92.52083333333331,29.758125000000003,88,413,94,2,0,0
2023-12-21,0,79.45833333333333,90.70833333333331,29.75979166666667,89,411,88,3,0,0
2023-12-22,0,80.60416666666667,85.27083333333333,29.781458333333333,88,405,96,4,0,0
2023-12-23,0,78.97916666666667,89.8125,29.793333333333333,68,424,90,5,1,0
2023-12-24,1,78.20833333333333,95.14583333333331,29.80208333333333,57,439,98,6,1,0
2023-12-25,0,78.54166666666667,93.22916666666669,29.81458333333333,62,443,89,0,0,0
2023-12-26,0,78.33333333333333,91.6875,29.832708333333333,78,420,92,1,0,0
2023-12-27,0,81.27083333333333,83.625,29.831875,87,415,91,2,0,0
2023-12-28,0,81.52083333333333,85.22916666666667,29.7875,79,417,92,3,0,0
2023-12-29,0,81.89583333333333,87.6875,29.760625,81,420,95,4,0,1
2023-12-30,0,82.0625,85.10416666666667,29.75770833333333,89,415,91,5,1,0
2023-12-31,0,81.875,83.91666666666667,29.765833333333333,92,413,95,6,1,1
2024-01-01,0,81.3125,83.02083333333333,29.757291666666664,93,430,93,0,0,1
2024-01-02,0,80.91666666666667,80.91666666666667,29.83833333333333,91,443,86,1,0,0
2024-01-03,0,83.125,77.29166666666667,29.7475,93,436,91,2,0,0
2024-01-04,0,84.625,78.60416666666667,29.71604166666667,88,440,95,3,0,0
